Order ID,Order Date,Ship Date,Ship Mode,Customer Segment,Region,Country,Category,Sub-Category,Sales Rep,Quantity,Sales,Cost,Profit,Discount,Profit Margin
ORD-1000,2023-04-13,2023-04-16,Standard,Consumer,Latin America,Brazil,Office Supplies,Pens,Rep_007,19,275.45,190.57,84.88,0.0,30.82
ORD-1001,2023-12-10,2023-12-13,Express,Consumer,Latin America,Argentina,Furniture,Tables,Rep_001,12,11475.77,6901.68,4574.09,0.0,39.86
ORD-1002,2024-11-12,2024-11-15,Express,Home Office,Latin America,Chile,Furniture,Tables,Rep_019,12,9839.14,7069.25,1938.9229999999998,0.0,19.71
ORD-1003,2023-06-16,2023-06-20,Standard,Corporate,Europe,Spain,Technology,Copiers,Rep_018,9,730.21,471.84,258.36,0.0,35.38
ORD-1004,2024-05-23,2024-05-25,Express,Consumer,Latin America,Chile,Office Supplies,Binders,Rep_004,18,1222.91,809.99,289.051,0.05,23.64
ORD-1005,2024-04-21,2024-04-28,Express,Corporate,Asia Pacific,Japan,Furniture,Furnishings,Rep_010,4,4872.7119999999995,2940.03,1131.494,0.0,23.22
ORD-1006,2024-12-02,2024-12-03,Second Class,Home Office,Latin America,Brazil,Technology,Computers,Rep_013,9,7062.0,3576.5,1451.1699999999998,0.0,20.55
ORD-1007,2024-10-09,2024-10-11,Standard,Consumer,Latin America,Chile,Office Supplies,Pens,Rep_008,3,240.2,173.23,46.879,0.2,19.52
ORD-1008,2023-05-15,2023-05-18,Standard,Home Office,North America,Canada,Technology,Copiers,Rep_005,3,3609.09,2363.75,1245.34,0.05,34.51
ORD-1009,2024-04-06,2024-04-10,Standard,Home Office,Asia Pacific,China,Technology,Computers,Rep_014,7,1465.6200000000001,669.34,325.612,0.0,22.22
ORD-1010,2024-07-28,2024-08-01,First Class,Consumer,Latin America,Chile,Technology,Copiers,Rep_004,5,3350.75,1828.37,596.5609999999999,0.1,17.8
ORD-1011,2024-11-29,2024-12-01,Standard,Consumer,Asia Pacific,Japan,Furniture,Tables,Rep_006,12,5634.694,3374.36,1344.014,0.05,23.85
ORD-1012,2024-04-17,2024-04-18,Standard,Consumer,Asia Pacific,Japan,Technology,Phones,Rep_020,13,36512.97,13512.95,12539.197999999999,0.05,34.34
ORD-1013,2023-08-13,2023-08-20,Standard,Corporate,Asia Pacific,Japan,Office Supplies,Pens,Rep_009,17,189.8,123.52,66.28,0.0,34.92
ORD-1014,2023-04-23,2023-04-24,Standard,Consumer,North America,United States,Technology,Accessories,Rep_002,2,1703.04,1033.08,669.96,0.0,39.34
ORD-1015,2023-05-10,2023-05-15,Express,Home Office,North America,Canada,Furniture,Furnishings,Rep_004,11,6792.68,4404.59,2388.09,0.15,35.16
ORD-1016,2023-07-17,2023-07-21,Standard,Consumer,Europe,France,Office Supplies,Storage,Rep_009,6,426.61,329.21,97.41,0.0,22.83
ORD-1017,2024-05-25,2024-05-29,Second Class,Consumer,Asia Pacific,Singapore,Office Supplies,Storage,Rep_001,8,434.09600000000006,262.91,99.414,0.0,22.9
ORD-1018,2023-05-31,2023-06-06,Second Class,Home Office,Asia Pacific,Japan,Furniture,Bookcases,Rep_016,16,14036.5,9908.79,4127.71,0.0,29.41
ORD-1019,2023-02-06,2023-02-07,Express,Consumer,Latin America,Chile,Office Supplies,Paper,Rep_003,19,1405.35,1095.36,309.99,0.15,22.06
ORD-1020,2024-08-09,2024-08-14,Standard,Corporate,North America,Canada,Furniture,Bookcases,Rep_003,18,5852.36,4153.7,1698.67,0.1,29.03
ORD-1021,2023-06-10,2023-06-16,Standard,Home Office,Latin America,Brazil,Furniture,Chairs,Rep_003,17,9031.85,6399.14,2632.71,0.05,29.15
ORD-1022,2024-10-31,2024-11-01,Standard,Corporate,Europe,Germany,Technology,Accessories,Rep_008,2,1831.6374999999998,1068.24,397.07,0.1,21.68
ORD-1023,2024-10-20,2024-10-25,Standard,Consumer,Latin America,Chile,Technology,Copiers,Rep_012,14,32094.75,17306.3,5858.65,0.0,18.25
